,0
0,6.1869025
1,6.18606
2,6.185155
3,6.1844625
4,6.183407
5,6.1826906
6,6.1818533
7,6.181029
8,6.180054
9,6.1792574
10,6.178341
11,6.1776743
12,6.176751
13,6.176053
14,6.1750135
15,6.1741695
16,6.1734
17,6.172601
18,6.171678
19,6.170792
20,6.1700635
21,6.1694036
22,6.1685605
23,6.1678977
24,6.1670127
25,6.1662645
26,6.165557
27,6.1649942
28,6.1644273
29,6.163741
30,6.1628785
31,6.1622353
32,6.161617
33,6.1609063
34,6.1602836
35,6.1598845
36,6.159104
37,6.158553
38,6.157838
39,6.157259
40,6.1567454
41,6.1562715
42,6.155656
43,6.1553435
44,6.1548333
45,6.154439
46,6.154069
47,6.1538095
48,6.153661
49,6.153114
50,6.15284
51,6.1524625
52,6.152283
53,6.151978
54,6.1515307
55,6.1514916
56,6.15094
57,6.150781
58,6.150732
59,6.1504507
60,6.150312
61,6.1503086
62,6.150217
63,6.1500554
64,6.1500735
65,6.149854
66,6.1498294
67,6.1498775
68,6.149878
69,6.149591
70,6.1496997
71,6.149669
72,6.149641
73,6.149577
74,6.149509
75,6.149334
76,6.1493435
77,6.1493835
78,6.1493134
79,6.1493087
80,6.149273
81,6.1493587
82,6.149253
83,6.1491733
84,6.1492195
85,6.149025
86,6.149145
87,6.1491933
88,6.149169
89,6.1492677
90,6.1494317
91,6.1496134
92,6.149579
93,6.149704
94,6.149534
95,6.149436
96,6.149603
97,6.149576
98,6.1494956
99,6.1496067
100,6.149673
101,6.149485
102,6.1496897
103,6.1494527
104,6.1496396
105,6.149722
106,6.149661
107,6.1497264
108,6.149825
109,6.149904
110,6.1500344
111,6.150112
112,6.1501665
113,6.1502156
114,6.1503625
115,6.150434
116,6.1506076
117,6.150546
118,6.1506534
119,6.15058
120,6.1507063
121,6.150629
122,6.1506104
123,6.1505737
124,6.1505723
125,6.150631
126,6.150572
127,6.1504793
128,6.150558
129,6.150436
130,6.150553
131,6.150435
132,6.1506233
133,6.1503825
134,6.1502504
135,6.150073
136,6.1499424
137,6.1500034
138,6.149951
139,6.149759
140,6.1499667
141,6.1499543
142,6.1496706
143,6.1496277
144,6.1496243
145,6.149503
146,6.1495266
147,6.149454
148,6.1493025
149,6.149513
150,6.149457
151,6.149316
152,6.1492705
153,6.1492233
154,6.149199
155,6.1490126
156,6.148881
157,6.1488876
158,6.148612
159,6.148542
160,6.148474
161,6.1483045
162,6.1481104
163,6.147995
164,6.147807
165,6.147753
166,6.1476336
167,6.147493
168,6.1472573
169,6.147195
170,6.146886
171,6.1469717
172,6.1466312
173,6.1467237
174,6.146723
175,6.146514
176,6.1463075
177,6.146144
178,6.1460166
179,6.145973
180,6.1459794
181,6.1458244
182,6.1458974
183,6.1456466
184,6.145562
185,6.1456504
186,6.145538
187,6.145504
188,6.1452575
189,6.1453943
190,6.145321
191,6.1454034
192,6.145445
193,6.1453333
194,6.1453705
195,6.1451306
196,6.1452503
197,6.14519
198,6.145325
199,6.145147
200,6.145336
201,6.1453733
202,6.1452956
203,6.145467
204,6.1453815
205,6.145295
206,6.145317
207,6.145277
208,6.145341
209,6.1453543
210,6.145435
211,6.1453276
212,6.1453114
213,6.145416
214,6.1452417
215,6.1452355
216,6.1452775
217,6.145173
218,6.145054
219,6.1450086
220,6.145072
221,6.14495
222,6.144948
223,6.144795
224,6.1447444
225,6.1447554
226,6.1445527
227,6.1447215
228,6.144581
229,6.1443434
230,6.1443477
231,6.1443563
232,6.1443286
233,6.14441
234,6.1444397
235,6.1444263
236,6.144194
237,6.1441765
238,6.144329
239,6.1442924
240,6.144448
241,6.144435
242,6.14422
243,6.1444187
244,6.1443596
245,6.1445017
246,6.1443853
247,6.144592
248,6.144742
249,6.144894
250,6.1449933
251,6.145042
252,6.14536
253,6.1453533
254,6.145588
255,6.1459484
256,6.146141
257,6.1463017
258,6.146703
259,6.146935
260,6.147167
261,6.1475935
262,6.1478286
263,6.1481037
264,6.148196
265,6.148591
266,6.148785
267,6.148979
268,6.1493797
269,6.149445
270,6.149838
271,6.1500673
272,6.150364
273,6.150686
274,6.1508446
275,6.1509237
276,6.151093
277,6.15149
278,6.151554
279,6.1519704
280,6.152154
281,6.15254
282,6.1528683
283,6.153214
284,6.1534786
285,6.1537743
286,6.154233
287,6.1545825
288,6.154974
289,6.1554174
290,6.1558504
291,6.1561556
292,6.15629
293,6.156782
294,6.1571054
295,6.157423
296,6.1577053
297,6.158267
298,6.1585236
299,6.158943
300,6.159183
301,6.159438
302,6.1600013
303,6.1604786
304,6.1608477
305,6.161423
306,6.161871
307,6.162226
308,6.1628437
309,6.16321
310,6.163847
311,6.164421
312,6.164921
313,6.1654367
314,6.1658845
315,6.1664257
316,6.1667404
317,6.1673446
318,6.1677713
319,6.168216
320,6.168445
321,6.1689186
322,6.1691694
323,6.1695895
324,6.169816
325,6.17015
326,6.1704726
327,6.170878
328,6.1711845
329,6.1714463
330,6.171948
331,6.172092
332,6.1723557
333,6.1725693
334,6.1727557
335,6.1731687
336,6.173406
337,6.1737194
338,6.174019
339,6.1746135
340,6.1748023
341,6.1750875
342,6.175426
343,6.1759977
344,6.1763763
345,6.1765566
346,6.1770315
347,6.177319
348,6.177717
349,6.1781745
350,6.178293
351,6.178924
352,6.1792994
353,6.179698
354,6.1797967
355,6.1804285
356,6.180544
357,6.1810822
358,6.181426
359,6.182023
360,6.182341
361,6.1829085
362,6.183113
363,6.1836233
364,6.184089
